rf_x,rf_y,rf_radius,pixel_count,mean_R,mean_G,mean_B,var_R,var_G,var_B
300,300,30.0,276,232.82608,255.0,232.82608,5162.627,1e-06,5162.627
330.0,300.0,32.4,276,184.78261,255.0,184.78261,12974.962,1e-06,12974.962
309.27050983124843,328.5316954888546,32.4,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
275.72949016875157,317.6335575687742,32.4,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
275.72949016875157,282.36644243122583,32.4,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
309.27050983124843,271.4683045111454,32.4,276,150.59782,255.0,150.59782,15722.75,1e-06,15722.75
362.4,300.0,34.992,276,181.08696,255.0,181.08696,13384.7705,1e-06,13384.7705
352.4942204486657,333.7359870092293,34.992,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
325.9218968113177,356.7610365101219,34.992,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
291.11955409174703,361.7648579733702,34.992,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
259.1366902018142,347.1587734397057,34.992,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
240.12763844645536,317.5801115469052,34.992,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
240.12763844645536,282.4198884530948,34.992,276,251.30435,251.30435,255.0,928.73193,928.73193,1e-06
259.1366902018142,252.8412265602943,34.992,276,219.89131,219.89131,255.0,7720.091,7720.091,1e-06
291.119554091747,238.2351420266298,34.992,276,208.80435,255.0,208.80435,9645.837,1e-06,9645.837
325.9218968113177,243.23896348987805,34.992,276,60.97826,255.0,60.97826,11831.096,1e-06,11831.096
352.4942204486657,266.2640129907707,34.992,276,31.413044,255.0,31.413044,7023.548,1e-06,7023.548
397.392,300.0,37.79136,276,227.28261,255.0,227.28261,6299.6772,1e-06,6299.6772
389.97847543033924,337.2703048449008,37.79136,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
368.86654363332025,368.86654363332025,37.79136,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
337.2703048449008,389.97847543033924,37.79136,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
300.0,397.392,37.79136,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
262.7296951550992,389.97847543033924,37.79136,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
231.13345636667975,368.86654363332025,37.79136,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
210.02152456966076,337.2703048449008,37.79136,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
202.608,300.0,37.79136,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
210.02152456966076,262.7296951550992,37.79136,276,158.91304,158.91304,255.0,15269.493,15269.493,1e-06
231.13345636667975,231.13345636667975,37.79136,276,75.76087,75.76087,255.0,13579.331,13579.331,1e-06
262.72969515509914,210.02152456966078,37.79136,276,158.91304,158.91304,255.0,15269.475,15269.475,1e-06
300.0,202.608,37.79136,276,227.28261,255.0,227.28261,6299.678,1e-06,6299.678
337.27030484490086,210.02152456966076,37.79136,276,136.73914,255.0,136.73914,16170.85,1e-06,16170.85
368.86654363332025,231.13345636667975,37.79136,276,86.847824,255.0,86.847824,14603.629,1e-06,14603.629
389.97847543033924,262.72969515509914,37.79136,276,136.73914,255.0,136.73914,16170.89,1e-06,16170.89
435.18336,300.0,40.8146688,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
428.5670154226736,341.7739555967065,40.8146688,276,255.0,247.60869,247.60869,1e-06,1830.1506,1830.1506
409.3656355967065,379.4587853633442,40.8146688,276,255.0,227.28261,227.28261,1e-06,6299.678,6299.678
379.45878536334425,409.3656355967065,40.8146688,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
341.7739555967065,428.5670154226736,40.8146688,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
300.0,435.18336,40.8146688,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
258.22604440329354,428.56701542267365,40.8146688,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
220.5412146366558,409.3656355967065,40.8146688,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
190.63436440329352,379.45878536334425,40.8146688,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
171.4329845773264,341.7739555967065,40.8146688,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
164.81664,300.0,40.8146688,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
171.43298457732638,258.22604440329354,40.8146688,276,166.30435,166.30435,255.0,14750.525,14750.525,1e-06
190.6343644032935,220.5412146366558,40.8146688,276,5.5434785,5.5434785,255.0,1382.8568,1382.8568,1e-06
220.54121463665575,190.63436440329352,40.8146688,276,5.5434785,5.5434785,255.0,1382.8492,1382.8492,1e-06
258.2260444032935,171.4329845773264,40.8146688,276,166.30435,166.30435,255.0,14750.506,14750.506,1e-06
300.0,164.81664,40.8146688,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
341.77395559670646,171.43298457732638,40.8146688,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
379.4587853633442,190.6343644032935,40.8146688,276,224.51086,255.0,224.51086,6845.1436,1e-06,6845.1436
409.3656355967065,220.54121463665575,40.8146688,276,224.51086,255.0,224.51086,6845.1504,1e-06,6845.1504
428.5670154226736,258.2260444032935,40.8146688,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
475.9980288,300.0,44.079842303999996,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
470.46872708751187,343.76892992350884,44.079842303999996,276,255.0,243.91304,243.91304,1e-06,2704.2534,2704.2534
454.2282483119923,384.7876970090595,44.079842303999996,276,255.0,164.45653,164.45653,1e-06,14890.471,14890.471
428.29704148321,420.478941264194,44.079842303999996,276,255.0,148.75,148.75,1e-06,15804.642,15804.642
394.3044596945251,448.6000505491479,44.079842303999996,276,255.0,239.29347,239.29347,1e-06,3758.463,3758.463
354.3863818756914,467.3840721453421,44.079842303999996,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
311.05100766448703,475.6507368930887,44.079842303999996,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
267.02125799895975,472.88061984362054,44.079842303999996,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
225.06368398068673,459.2477776389336,44.079842303999996,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
187.81463429439924,435.60881189283475,44.079842303999996,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
157.61460372430858,403.44904576118597,44.079842303999996,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
136.36117125907674,364.789195625385,44.079842303999996,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
125.38976822515113,322.0584020504475,44.079842303999996,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
125.38976822515113,277.94159794955243,44.079842303999996,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
136.36117125907677,235.21080437461487,44.079842303999996,276,190.32608,190.32608,255.0,12309.148,12309.148,1e-06
157.6146037243086,196.55095423881403,44.079842303999996,276,83.152176,83.152176,255.0,14289.512,14289.512,1e-06
187.81463429439924,164.39118810716525,44.079842303999996,276,66.521736,66.521736,255.0,12537.97,12537.97,1e-06
225.06368398068685,140.75222236106634,44.079842303999996,276,161.68478,161.68478,255.0,15087.669,15087.669,1e-06
267.02125799895975,127.11938015637944,44.079842303999996,276,250.38043,250.38043,255.0,1156.6492,1156.6492,1e-06
311.05100766448714,124.34926310691131,44.079842303999996,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
354.3863818756914,132.61592785465788,44.079842303999996,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
394.3044596945251,151.39994945085212,44.079842303999996,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
428.29704148321014,179.5210587358061,44.079842303999996,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
454.2282483119923,215.2123029909405,44.079842303999996,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
470.46872708751187,256.23107007649116,44.079842303999996,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
520.077871104,300.0,47.60622968832,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
514.9325727770813,347.3102368319319,47.60622968832,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
499.7372662275036,392.40829957115426,47.60622968832,276,255.0,220.81522,220.81522,1e-06,7548.5303,7548.5303
475.20246710115487,433.1854529268778,47.60622968832,276,255.0,178.31522,178.31522,1e-06,13674.03,13674.03
442.4753953367125,467.73500252873976,47.60622968832,276,255.0,225.43478,225.43478,1e-06,6665.0513,6665.0513
403.08633243635404,494.4414498364233,47.60622968832,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
358.8770672035011,512.0560310559057,47.60622968832,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
311.91477574537276,519.7551079465647,47.60622968832,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
264.3953626157129,517.1786802299025,47.60622968832,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
218.54078275843,504.4472188024565,47.60622968832,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
176.4951453639456,482.1560326505711,47.60622968832,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
140.22445770645615,451.34743286383423,47.60622968832,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
111.42469682885186,413.4619953269746,47.60622968832,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
91.44250754113435,370.27120099257615,47.60622968832,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
81.21223480578897,323.7946034005953,47.60622968832,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
81.21223480578897,276.20539659940476,47.60622968832,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
91.44250754113435,229.72879900742382,47.60622968832,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
111.42469682885189,186.53800467302537,47.60622968832,276,230.05435,230.05435,255.0,5738.8496,5738.8496,1e-06
140.22445770645618,148.65256713616574,47.60622968832,276,205.10869,205.10869,255.0,10233.145,10233.145,1e-06
176.49514536394554,117.84396734942897,47.60622968832,276,220.81522,220.81522,255.0,7548.521,7548.521,1e-06
218.54078275843,95.55278119754345,47.60622968832,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
264.3953626157129,82.82131977009746,47.60622968832,276,255.0,255.0,255.0,1e-06,1e-06,1e-06
